Portfolio,TranBranch,PortBranch,Type,Zip,Total Deposits,Total Loans
100915,0006 - Santa Fe Springs,1,C,90606-2026,856.36,0
106908,0006 - Santa Fe Springs,1,C,90650-3452,"5,261.33",0
124932,0006 - Santa Fe Springs,1,B,90022-4932,"447,196.57","2,517,702.68"
133130,0006 - Santa Fe Springs,1,C,90650,400.99,0
134905,0006 - Santa Fe Springs,1,C,90650,884.46,0
137925,0006 - Santa Fe Springs,1,B,90650-3452,"192,344.91",0
144306,0006 - Santa Fe Springs,1,C,90650,-15.04,0
149487,0006 - Santa Fe Springs,1,B,90670-4505,"1,299,724.33",0
151563,0006 - Santa Fe Springs,1,C,90707-4199,"3,325.33",0
153385,0006 - Santa Fe Springs,1,B,90255,"2,741.50",0
155786,0006 - Santa Fe Springs,1,B,90723-3758,"2,559,495.80","661,746.53"
155996,0006 - Santa Fe Springs,1,B,90210-4612,"2,212,004.60","12,995,215.73"
157148,0006 - Santa Fe Springs,1,B,90670-2536,"18,641.16","270,260.88"
159161,0006 - Santa Fe Springs,1,B,90240-3333,-5.43,0
159521,0006 - Santa Fe Springs,1,B,90670-2611,"96,871.80","3,792,813.92"
160614,0006 - Santa Fe Springs,1,B,90670-3305,333.15,"1,450,945.92"
200245,0006 - Santa Fe Springs,1,B,90262-1722,"27,107.62",0
200291,0006 - Santa Fe Springs,1,B,90670-3722,"924,570.35","3,442,769.68"
200414,0006 - Santa Fe Springs,1,B,90051,"12,635.79",0
200478,0006 - Santa Fe Springs,1,C,90201-4962,"1,194.04",0
200496,0006 - Santa Fe Springs,1,B,91706-1348,"49,571.69",0
200578,0006 - Santa Fe Springs,1,C,90650-3065,615.05,0
200598,0006 - Santa Fe Springs,1,C,90280-0241,"3,429.62",0
200929,0006 - Santa Fe Springs,1,B,90270-2007,"4,891.91",0
201390,0006 - Santa Fe Springs,1,C,90706,714.32,0
206191,0006 - Santa Fe Springs,1,B,90040-3704,"1,089,493.05","759,609.00"
300187,0006 - Santa Fe Springs,1,C,90650,98.86,0
600427,0006 - Santa Fe Springs,1,B,90280-6043,"2,969.72","518,329.20"
114253,0006 - Santa Fe Springs,2,B,90255,"403,479.06","4,574,692.51"
114318,0006 - Santa Fe Springs,2,B,90037-2748,"2,602,646.60",0
135460,0006 - Santa Fe Springs,2,B,90640-5411,"275,111.68","138,479.76"
159369,0006 - Santa Fe Springs,2,B,90045-3508,"4,864,390.48","2,422,592.09"
160612,0006 - Santa Fe Springs,2,B,91406-4608,"229,172.05","1,039,083.33"
207885,0006 - Santa Fe Springs,2,B,91311-4401,"10,389.80","118,930.43"
106977,0006 - Santa Fe Springs,3,B,91203-3931,"5,583,847.77","203,424.88"
146728,0006 - Santa Fe Springs,3,C,90022,720.48,0
154354,0006 - Santa Fe Springs,3,B,90248-1817,"120,498.13","1,189,457.34"
155683,0006 - Santa Fe Springs,3,C,91770,"11,681.16",0
